ponto;localizacao;data_instalacao;cota_terreno;latitude;longitude;latitude_decimal;longitude_decimal;utme;utmn;bacia;municipio;natureza;nome;subbacia;situacao;uf;uso_agua;data_perfuracao;metodo_perfuracao;perfurador;diametro_boca_tubo_milimetros;topo;base;tipo_penetracao;condicao;tipo_captacao;data_medicao;nivel_agua;vazao;nivel_bombeando;profundidade_inicial;profundidade_final;tipo_formacao;data_teste;tipo_teste_bombeamento;metodo_interpretacao;surgencia;unidade_de_bombeamento;nivel_dinamico;nivel_estatico;vazao_especifica;coeficiente_armazenamento;vazao_livre;permeabilidade;transmissividade;vazao_estabilizacao;tipo_bomba;data_analise;data_coleta;condutividade_eletrica;cor;odor;sabor;temperatura;turbidez;solidos_sedimentaveis;solidos_suspensos;aspecto_natural
"4300002184";"PROX,BR,392";1972-06-12;"380,00";"302722";"532933";"-30,456111";"-53,492500";"260680";"6628025";Atlantico Sul-Sudeste;Cacapava do sul;Poço tubular;IPA-1561-1;Rio Jacui;Equipado;RS;Abastecimento industrial;1972-06-12;;T - JANNER;"152,4000";;;PARCIAL;LIVRE;ÚNICA;;;;;"0,00";"68,00";Complexo granito-gnaissico;1972-06-12;Rebaixamento;;N;Bomba pistao;"48,00";"3,00";;;;;;"1,32";;;;;;;;;;;;
"4300002185";"PROX,AO POÇO 1561-1";1972-12-02;"360,00";"302723";"532931";"-30,456388";"-53,491944";"260720";"6628000";Atlantico Sul-Sudeste;Cacapava do sul;Poço tubular;IPA.1561-2;Rio Jacui;Equipado;RS;Abastecimento industrial;1972-12-02;;T - JANNER;"152,4000";"0,00";"62,00";Total;Confinado;Simultânea;;;;;"0,00";"62,00";Complexo granito-gnaissico;1972-11-30;Rebaixamento;;N;Bomba pistao;"41,00";"3,00";;;;;;"0,6";;;;;;;;;;;;
"4300017787";TREVO DAS ESTRADAS RS E GUARITAS;;;"302934";"532713";"-30,492777";"-53,453611";"264497";"6624037";;Cacapava do sul;Poço tubular;"5097";;;RS;;1983-08-21;;SEC. DA  AGRICULTURA;"152,4000";"0,00";"78,00";Parcial;;Única;;;;;"0,00";"78,00";Complexo granito-gnaissico;;;;;;;;;;;;;;;;;;;;;;;;;
"4300020715";BR392 KM 191 INDULAC INDUSTRIA DE ALIMENTOS;;"385,00";"302857";"532846";"-30,482500";"-53,479444";"261980";"6625126";Atlantico Sul-Sudeste;Cacapava do sul;Poço tubular;JR 479;Rio Jacui;Parado;RS;;1982-10-12;Percussao;SEC. DA  AGRICULTURA;"152,4000";"0,00";"69,40";Total;Confinado;Simultânea;2011-07-21;"0,74";;N;"0,00";"69,40";Complexo granito-gnaissico;1982-10-12;Rebaixamento;;N;Cacamba;"60,00";"2,00";"0,031";;;;;"1,8";;2011-07-21;2011-07-21;"338,00";;;;"15,0";;;;
"4300020716";RS357 KM45 FONTE CERRO DO POSTO;;"243,00";"304500";"534554";"-30,750000";"-53,765000";"235296";"6594815";Atlantico Sul-Sudeste;Cacapava do sul;Poço tubular;JR 480;Lagoa dos Patos;Bombeando;RS;"Outros (lazer,etc.)";1999-10-02;Rotopneumatico;HIDROGEO;"203,2000";"0,00";"100,00";Parcial;Livre;Única;;;;;"0,00";"100,00";;2000-11-14;Rebaixamento;;N;Bomba submersa;"68,15";"18,00";"0,064";;;;;"3,2";Bomba submersa;2001-05-24;2001-05-23;"592,00";;;;"19,0";;;;
"4300020717";RS357 KM45 FAZENDA SEIVAL;;"237,00";"304502";"534556";"-30,750555";"-53,765555";"235253";"6594764";Atlantico Sul-Sudeste;Cacapava do sul;Poço tubular;JR 481;Lagoa dos Patos;Seco;RS;;1999-09-29;Rotopneumatico;HIDROGEO;"152,4000";"0,00";"120,00";Parcial;Livre;Única;2011-07-21;"24,6";;N;"0,00";"120,00";Formacao Rio Bonito;;;;;;;;;;;;;;;2011-07-21;2011-07-21;"526,00";;;;"17,0";;;;
"4300020757";FAZENDA MORADA TIO GERALDO;;"424,00";"303859";"533332";"-30,649722";"-53,558889";"254788";"6606400";Atlantico Sul-Sudeste;Cacapava do sul;Poço tubular;JR501;Lagoa dos Patos;Abandonado;RS;;1954-06-15;Percussao;SEC. DA  AGRICULTURA;"101,6000";"0,00";"35,00";Total;Confinado;Simultânea;;;;;"0,00";"35,00";Complexo granito-gnaissico;1954-06-15;Rebaixamento;;N;;;"7,80";;;;;;"3";;;;;;;;;;;;
"4300020758";"RS 357 KM 7,5 FAZENDA DE PEDRA";;"407,00";"303454";"533106";"-30,581667";"-53,518333";"258505";"6614042";Atlantico Sul-Sudeste;Cacapava do sul;Poço tubular;JR502;Rio Jacui;Abandonado;RS;;1957-04-22;Percussao;SEC. DA  AGRICULTURA;"101,6000";"0,00";"80,00";Total;Confinado;Simultânea;;;;;"0,00";"80,00";Complexo granito-gnaissico;2011-09-13;;;;;;"70,00";;;;;;"4";;;;;;;;;;;;
"4300020759";ESTRADA PINHEIRO     CHACARA QUEIMADA;;"384,00";"303539";"532726";"-30,594167";"-53,457222";"264391";"6612773";Atlantico Sul-Sudeste;Cacapava do sul;Poço tubular;JR503;Rio Jacui;Bombeando;RS;Abastecimento doméstico;2001-01-22;Rotopneumatico;HIDROGEO;"152,4000";"0,00";"300,00";Total;Confinado;Simultânea;;;;;"0,00";"300,00";Complexo granito-gnaissico;2001-01-22;Rebaixamento;;N;Bomba submersa;;"14,00";;;;;;"1,5";;2011-09-13;2011-09-13;"79,00";;;;"22,0";;;;
"4300020760";BR 392 FRIGORIFICO;;"370,00";"302724";"532929";"-30,456667";"-53,491389";"260772";"6627946";Atlantico Sul-Sudeste;Cacapava do sul;Poço tubular;JR504;Rio Jacui;Abandonado;RS;;1972-12-02;Percussao;T. JANER;"152,4000";"0,00";"62,00";Total;Confinado;Simultânea;;;;;"0,00";"62,00";Complexo granito-gnaissico;1972-11-30;Rebaixamento;;N;Bomba pistao;"41,00";"3,00";"0,016";;;;;"0,6";;;;;;;;;;;;
